abel,Name,Nillable,Picklistvalues,Referenceto,Relationshipname,Type,Unique,Updateable
Record ID,Id,FALSE,--,--,null,id,FALSE,FALSE
Owner ID,OwnerId,FALSE,--,"[ ""Group"", ""User"" ]",Owner,reference,FALSE,TRUE
Deleted,IsDeleted,FALSE,--,--,null,boolean,FALSE,FALSE
Charges And Fees Name,Name,TRUE,--,--,null,string,FALSE,TRUE
Record Type ID,RecordTypeId,TRUE,--,"[ ""RecordType"" ]",RecordType,reference,FALSE,TRUE
Created Date,CreatedDate,FALSE,--,--,null,datetime,FALSE,FALSE
Created By ID,CreatedById,FALSE,--,"[ ""User"" ]",CreatedBy,reference,FALSE,FALSE
Last Modified Date,LastModifiedDate,FALSE,--,--,null,datetime,FALSE,FALSE
Last Modified By ID,LastModifiedById,FALSE,--,"[ ""User"" ]",LastModifiedBy,reference,FALSE,FALSE
System Modstamp,SystemModstamp,FALSE,--,--,null,datetime,FALSE,FALSE
Last Viewed Date,LastViewedDate,TRUE,--,--,null,datetime,FALSE,FALSE
Last Referenced Date,LastReferencedDate,TRUE,--,--,null,datetime,FALSE,FALSE
APR Type,FinServ__APRType__c,TRUE,"[ ""Fixed"" , ""Other"" , ""Variable"" ]",--,null,picklist,FALSE,TRUE
APR,FinServ__APR__c,TRUE,--,--,null,percent,FALSE,TRUE
ATM Fee,FinServ__ATMFee__c,TRUE,--,--,null,currency,FALSE,TRUE
Annual Account Charge,FinServ__AnnualAccountCharge__c,TRUE,--,--,null,currency,FALSE,TRUE
Annual Membership Fee,FinServ__AnnualMembershipFee__c,TRUE,--,--,null,currency,FALSE,TRUE
Balance Transfer APR,FinServ__BalanceTransferAPR__c,TRUE,--,--,null,percent,FALSE,TRUE
Cash APR Type,FinServ__CashAPRType__c,TRUE,"[ ""Fixed"" , ""Variable"" , ""Other"" ]",--,null,picklist,FALSE,TRUE
Cash APR,FinServ__CashAPR__c,TRUE,--,--,null,percent,FALSE,TRUE
Cash Advance Fee,FinServ__CashAdvanceFee__c,TRUE,--,--,null,currency,FALSE,TRUE
Foreign Transaction Fee,FinServ__ForeignTransactionFee__c,TRUE,--,--,null,currency,FALSE,TRUE
Insufficient Funds Fee,FinServ__InsufficientFundsFee__c,TRUE,--,--,null,currency,FALSE,TRUE
Interest Rate,FinServ__InterestRate__c,TRUE,--,--,null,percent,FALSE,TRUE
Late Payment Fee,FinServ__LatePaymentFee__c,TRUE,--,--,null,currency,FALSE,TRUE
Maximum Transaction Fee,FinServ__MaximumTransactionFee__c,TRUE,--,--,null,currency,FALSE,TRUE
Monthly Service Fee,FinServ__MonthlyServiceFee__c,TRUE,--,--,null,currency,FALSE,TRUE
Overdraft Fees,FinServ__OverdraftFees__c,TRUE,--,--,null,currency,FALSE,TRUE
Replacement Card Fee,FinServ__ReplacementCardFee__c,TRUE,--,--,null,currency,FALSE,TRUE
Returned Check Fee,FinServ__ReturnedCheckFee__c,TRUE,--,--,null,currency,FALSE,TRUE
Source System ID,FinServ__SourceSystemId__c,TRUE,--,--,null,string,FALSE,TRUE
Statement Fee,FinServ__StatementFee__c,TRUE,--,--,null,currency,FALSE,TRUE
Stop Payment Fee,FinServ__StopPaymentFee__c,TRUE,--,--,null,currency,FALSE,TRUE
